2026-01-28 13:33:27 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 13:54:34 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 13:54:36 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 13:54:41 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 13:54:43 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 13:54:53 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 13:54:55 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 13:55:06 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 13:55:08 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 13:55:16 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 13:55:18 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:02:09 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:02:11 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:03:04 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:03:05 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:03:26 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:03:27 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:04:03 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:04:05 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:06:04 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:06:05 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:06:38 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:06:40 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:07:45 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:07:47 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:07:58 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:08:00 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:08:12 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:08:14 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:08:32 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:08:34 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:08:34 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:08:36 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:08:37 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:08:39 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 14:57:30 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 14:57:32 | INFO | main:lifespan:12 - 应用启动中...
2026-01-28 15:15:01 | INFO | main:lifespan:14 - 应用正在关闭...
2026-01-28 15:15:03 | INFO | main:lifespan:12 - 应用启动中...
